season,player_id,player,team,age,experience,games,games_started,minutes,per,true_shooting,usage_rate,bpm,vorp,win_shares,ws_per_48,obpm,dbpm,reb_rate,ast_rate,stl_rate,blk_rate,tov_rate,three_pt_rate,team_pace,team_wins,team_season_key,minutes_per_game,qualified
1997,davisda01,Dale Davis,IND,27.0,6,80,76.0,2589.0,15.1,0.532,15.9,-0.1,1.2,6.7,0.124,0.2,-0.3,17.8,4.0,1.2,2.4,12.1,0.0,89.0,39.0,IND_1997,32.4,1
1997,davisem01,Emanual Davis,HOU,28.0,1,13,0.0,230.0,9.7,0.565,14.7,-0.6,0.0,0.3,0.063,-1.8,1.2,5.5,17.1,2.1,0.7,22.8,0.5,91.6,57.0,HOU_1997,17.7,0
1997,davishu01,Hubert Davis,TOR,26.0,5,36,0.0,623.0,7.4,0.466,15.5,-4.9,-0.5,0.1,0.01,-3.2,-1.6,3.8,8.9,0.9,0.3,9.8,0.38,90.6,30.0,TOR_1997,17.3,0
1997,davisma02,Mark Davis,PHI,23.0,2,75,17.0,1705.0,13.7,0.525,18.0,-1.4,0.2,2.3,0.065,-1.5,0.0,10.3,12.9,2.5,1.3,16.2,0.174,95.3,22.0,PHI_1997,22.7,1
1997,dayto01,Todd Day,BOS,27.0,5,81,27.0,2277.0,15.5,0.515,24.0,-0.4,0.9,3.2,0.068,0.9,-1.2,8.3,8.6,2.4,1.6,10.0,0.348,95.8,15.0,BOS_1997,28.1,1
1997,declean01,Andrew DeClercq,GSW,23.0,2,71,1.0,1065.0,12.5,0.552,17.4,-4.8,-0.8,1.6,0.07,-3.8,-1.0,16.6,4.9,1.6,1.9,18.3,0.0,91.9,30.0,GSW_1997,15.0,1
1997,deherte01,Terry Dehere,LAC,25.0,4,73,3.0,1053.0,12.4,0.524,23.1,-2.8,-0.2,1.2,0.056,-1.2,-1.5,5.3,24.6,1.3,0.2,17.6,0.418,91.3,36.0,LAC_1997,14.4,1
1997,delebi01,Bison Dele,CHI,27.0,6,9,0.0,138.0,13.7,0.453,26.1,-4.9,-0.1,0.2,0.073,-3.6,-1.3,13.5,13.5,1.2,2.7,13.6,0.0,90.0,69.0,CHI_1997,15.3,0
1997,delkto01,Tony Delk,CHH,23.0,1,61,1.0,867.0,14.2,0.596,18.8,0.3,0.5,1.6,0.087,0.9,-0.6,6.9,18.5,2.3,0.5,19.6,0.438,88.6,54.0,CHH_1997,14.2,0
1997,delnevi01,Vinny Del Negro,SAS,30.0,7,72,53.0,2243.0,14.4,0.529,19.3,-1.5,0.3,3.1,0.066,-0.1,-1.4,5.6,18.6,1.4,0.2,9.9,0.179,87.3,20.0,SAS_1997,31.2,1
1997,dempsde01,Dell Demps,ORL,26.0,3,2,0.0,10.0,1.9,0.258,17.9,-4.2,0.0,0.0,-0.07,-7.0,2.9,0.0,0.0,5.4,0.0,0.0,0.333,88.3,45.0,ORL_1997,5.0,0
1997,divacvl01,Vlade Divac,CHH,28.0,8,81,80.0,2840.0,17.9,0.533,19.1,2.5,3.3,7.3,0.123,0.6,2.0,15.5,17.5,2.0,4.7,16.7,0.055,88.6,54.0,CHH_1997,35.1,1
1997,djordal01,Aleksandar Djordjevic,POR,29.0,1,8,0.0,61.0,12.5,0.687,17.1,1.1,0.1,0.1,0.114,2.0,-0.8,4.9,13.1,0.0,0.0,21.6,0.438,90.9,49.0,POR_1997,7.6,0
1997,douglsh01,Sherman Douglas,MIL,30.0,8,79,79.0,2316.0,14.6,0.557,16.8,-0.2,1.1,4.6,0.095,0.6,-0.8,5.1,29.7,1.8,0.3,18.3,0.187,89.5,33.0,MIL_1997,29.3,1
1997,dreilgr01,Greg Dreiling,DAL,34.0,10,40,3.0,389.0,7.3,0.466,11.2,-5.1,-0.3,0.4,0.045,-5.4,0.2,11.3,4.5,1.1,1.4,9.5,0.014,89.0,24.0,DAL_1997,9.7,0
1997,drexlcl01,Clyde Drexler,HOU,34.0,14,62,62.0,2271.0,19.9,0.548,23.5,4.8,3.9,8.1,0.172,3.4,1.5,9.5,26.4,2.7,1.2,13.3,0.373,91.6,57.0,HOU_1997,36.6,1
1997,driggna01,Nate Driggers,BOS,23.0,1,15,0.0,132.0,6.8,0.366,17.9,-7.5,-0.2,-0.2,-0.059,-4.5,-3.1,9.6,6.8,1.1,1.1,10.9,0.209,95.8,15.0,BOS_1997,8.8,0
1997,duckwke01,Kevin Duckworth,LAC,32.0,11,26,22.0,384.0,6.1,0.473,16.6,-5.7,-0.3,-0.2,-0.03,-5.7,0.0,9.1,6.6,1.2,2.2,23.1,0.039,91.3,36.0,LAC_1997,14.8,0
1997,dudlech02,Chris Dudley,POR,31.0,10,81,14.0,1840.0,10.1,0.449,10.6,-1.9,0.0,3.5,0.091,-2.9,1.1,19.1,3.2,1.1,4.0,18.5,0.0,90.9,49.0,POR_1997,22.7,1
1997,dumarjo01,Joe Dumars,DET,33.0,12,79,79.0,2923.0,15.6,0.586,18.9,1.6,2.7,8.8,0.144,2.6,-1.0,4.1,18.7,1.1,0.0,11.5,0.439,84.5,54.0,DET_1997,37.0,1
1997,dumasto01,Tony Dumas,2TM,24.0,3,24,1.0,278.0,5.2,0.402,20.3,-7.6,-0.4,-0.3,-0.055,-6.9,-0.7,3.3,15.0,1.9,0.6,13.0,0.292,,,2TM_1997,11.6,0
1997,earlac01,Acie Earl,2TM,26.0,4,47,0.0,500.0,10.7,0.433,22.7,-4.5,-0.3,0.0,-0.004,-4.3,-0.2,11.3,6.7,1.6,4.5,13.9,0.028,,,2TM_1997,10.6,0
1997,edneyty01,Tyus Edney,SAC,23.0,2,70,20.0,1376.0,12.7,0.499,19.5,-2.4,-0.1,1.5,0.054,-1.6,-0.8,4.8,25.4,2.3,0.1,18.7,0.107,91.0,34.0,SAC_1997,19.7,1
1997,edwarbl01,Blue Edwards,VAN,31.0,8,61,12.0,1439.0,10.0,0.472,18.9,-4.8,-1.0,-0.1,-0.003,-3.2,-1.6,7.6,13.5,1.4,1.1,13.8,0.194,88.4,14.0,VAN_1997,23.6,1
