player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Adem Bona,PHI,22.0,1234.0,12.8,13.812,1.012,Rise,<=24,Bench
De'Anthony Melton,GSW,27.0,1125.0,13.4,13.785,0.385,Hold,25-27,Bench
Tobias Harris,DET,33.0,1746.0,15.0,13.779,-1.221,Fall,31+,Bench
Cameron Johnson,DEN,29.0,1647.0,12.8,13.759,0.959,Rise,28-30,Bench
Christian Braun,DEN,24.0,1399.0,12.6,13.748,1.148,Rise,<=24,Bench
Quentin Grimes,PHI,25.0,2206.0,12.9,13.743,0.843,Rise,25-27,Bench
Cason Wallace,OKC,22.0,2046.0,12.1,13.743,1.643,Rise,<=24,Bench
Jaden McDaniels,MIN,25.0,2316.0,14.0,13.741,-0.259,Hold,25-27,Bench
Ace Bailey,UTA,19.0,1988.0,11.6,13.655,2.055,Rise,<=24,Bench
Julian Champagnie,SAS,24.0,2266.0,13.1,13.6,0.5,Hold,<=24,Bench
Dru Smith,MIA,28.0,1141.0,14.5,13.549,-0.951,Fall,28-30,Bench
Moses Moody,GSW,23.0,1540.0,13.5,13.433,-0.067,Hold,<=24,Bench
Jerami Grant,POR,31.0,1695.0,15.4,13.424,-1.976,Fall,31+,Bench
Daniss Jenkins,DET,24.0,1455.0,13.4,13.422,0.022,Hold,<=24,Bench
Will Riley,WAS,19.0,1633.0,12.1,13.413,1.313,Rise,<=24,Bench
Ron Holland,DET,20.0,1551.0,11.7,13.408,1.708,Rise,<=24,Bench
Russell Westbrook,SAC,37.0,1853.0,15.1,13.364,-1.736,Fall,31+,Bench
Nae'Qwan Tomlin,CLE,25.0,1004.0,12.9,13.343,0.443,Hold,25-27,Bench
Mouhamed Gueye,ATL,23.0,1179.0,12.0,13.332,1.332,Rise,<=24,Bench
P.J. Washington,DAL,27.0,1736.0,13.1,13.272,0.172,Hold,25-27,Bench
Jarace Walker,IND,22.0,1953.0,11.5,13.252,1.752,Rise,<=24,Bench
Aaron Wiggins,OKC,27.0,1414.0,11.7,13.148,1.448,Rise,25-27,Bench
